Country Name,Country Code,2015,exp
Channel Islands,CHI,,#NUM!
Eritrea,ERI,,#NUM!
Gibraltar,GIB,,#NUM!
Not classified,INX,,#NUM!
St. Martin (French part),MAF,,#NUM!
"Korea, Dem. People's Rep.",PRK,,#NUM!
"Venezuela, RB",VEN,,#NUM!
British Virgin Islands,VGB,,#NUM!
Bermuda,BMU,6654541000,22.61856555
Malawi,MWI,6373212641,22.57536975
Kosovo,XKX,6295820482,22.56315207
Liechtenstein,LIE,6268391521,22.55878586
Monaco,MCO,6261622101,22.55770535
Mauritania,MRT,6166857629,22.54245548
Guam,GUM,5799000000,22.48095156
Somalia,SOM,5335000000,22.39755496
French Polynesia,PYF,5325848045,22.39583803
Suriname,SUR,5126188135,22.3576284
Barbados,BRB,4724691200,22.27606827
Cayman Islands,CYM,4708336733,22.27260078
Fiji,FJI,4682546881,22.26710824
Guyana,GUY,4279840194,22.17718174
Sierra Leone,SLE,4218723875,22.16279875
Togo,TGO,4180866177,22.15378451
Maldives,MDV,4109424800,22.13654914
Eswatini,SWZ,4063245671,22.12524815
Montenegro,MNE,4054712083,22.12314575
Virgin Islands (U.S.),VIR,3663000000,22.02154855
Liberia,LBR,3227075700,21.89484244
Burundi,BDI,3104003611,21.85595883
Curacao,CUW,3042737430,21.83602365
Aruba,ABW,2963128492,21.8095117
Andorra,AND,2789870188,21.74926113
Faroe Islands,FRO,2573908649,21.66869168
Greenland,GRL,2499115623,21.63920298
Djibouti,DJI,2424391785,21.60884675
Lesotho,LSO,2359759799,21.5818259
Belize,BLZ,2210500000,21.5164848
Bhutan,BTN,2003598213,21.41821073
St. Lucia,LCA,1807227215,21.31505981
Central African Republic,CAF,1695825708,21.25143583
Cabo Verde,CPV,1596800287,21.19126787
Timor-Leste,TLS,1594447631,21.18979342
San Marino,SMR,1419394771,21.07349662
Seychelles,SYC,1416001322,21.07110299
"Gambia, The",GMB,1378176868,21.04402757
Antigua and Barbuda,ATG,1336692593,21.01346441
Solomon Islands,SLB,1307908070,20.99169502
Sint Maarten (Dutch part),SXM,1253072626,20.94886469
Guinea-Bissau,GNB,1048229629,20.77036873
Grenada,GRD,997007407.4,20.72026897
Comoros,COM,966029542,20.68870519
St. Kitts and Nevis,KNA,957040740.7,20.67935674
Turks and Caicos Islands,TCA,942070000,20.66359036
Northern Mariana Islands,MNP,910000000,20.62895537
Samoa,WSM,824160018.2,20.52987548
St. Vincent and the Grenadines,VCT,786554592.6,20.4831729
Vanuatu,VUT,730870581.7,20.40974717
American Samoa,ASM,673000000,20.3272561
Dominica,DMA,540737037,20.10844386
Tonga,TON,437006227.2,19.89545821
"Micronesia, Fed. Sts.",FSM,316489900,19.57280209
Sao Tome and Principe,STP,316066072.3,19.57146204
Palau,PLW,280457700,19.45193367
Marshall Islands,MHL,182997300,19.02498216
Kiribati,KIR,170291037.5,18.95301971
Nauru,NRU,86529661.37,18.27599801
Tuvalu,TUV,36811659.53,17.42132537
